Order,Order Quantity,Sales,Ship Mode,Profit,Shipping Cost,Province
1,8,114.73,Express Air,28.08,1.73,Ulster
2,37,1599.54,Regular Air,578.14,200.14,Munster
3,37,395.37,Express Air,17.15,47.68,Ulster
4,3,23.93,Regular Air,6.39,1.66,Ulster
5,38,1541.92,Regular Air,564.06,52.71,Munster
6,44,1102.28,Regular Air,389.61,95.44,Munster
7,35,238.08,Regular Air,31.65,23.6,Leinster
8,47,228.46,Regular Air,112.06,17.39,Leinster
9,19,145.26,Regular Air,35.75,23.07,Leinster
10,42,2753.07,Regular Air,551.34,146.92,Connacht
11,36,242.13,Express Air,94.74,13.11,Connacht
12,40,115.01,Express Air,5.81,2.14,Ulster
13,10,29.12,Regular Air,7.13,1.53,Munster
14,45,4598.73,Regular Air,1049.45,716.27,Leinster
15,7,2039.56,Express Air,329.49,297.22,Connacht
16,23,3503.12,Delivery Truck,168.14,290.45,Connacht
17,17,390.11,Regular Air,19.92,59.69,Leinster
18,4,62.48,Regular Air,1.06,6.23,Ulster
19,44,302.59,Express Air,124.44,21.43,Ulster
20,22,1102.3,Regular Air,98.12,109.64,Ulster
21,43,183.41,Regular Air,125.41,3.28,Ulster
22,33,15464.01,Delivery Truck,4407.44,947.63,Munster
23,9,1608.87,Regular Air,346.98,160.27,Ulster
24,48,538.22,Regular Air,154.66,35.96,Ulster
25,30,1394.36,Regular Air,271.45,155.7,Ulster
26,29,2738.785,Regular Air,556.83,330.7,Connacht
27,9,64.0305,Regular Air,58.34,5.9,Connacht
28,44,3202.25,Regular Air,991.26,236.44,Ulster
29,6,48.77,Regular Air,5.95,2.01,Munster
30,48,257.75,Regular Air,66.26,10.42,Ulster
31,42,283.58,Regular Air,14.23,30.96,Connacht
32,36,70.63,Regular Air,66.87,5.77,Leinster
33,39,626.96,Regular Air,35.92,38.48,Munster
34,21,2251.56,Delivery Truck,226.63,206.84,Ulster
35,24,349.65,Express Air,28.55,10.61,Munster
36,16,4691.27,Express Air,1196.72,608.4,Connacht
37,33,151.19,Regular Air,13.45,2.19,Ulster
38,44,786.26,Regular Air,274.98,83.57,Ulster
39,1,142.24,Delivery Truck,62.19,13.21,Ulster
40,8,753.8,Regular Air,32.3,49.27,Munster
41,15,2758.22,Regular Air,966.81,267.02,Leinster
42,4,36.46,Regular Air,7.41,1.11,Ulster
43,32,3114.05,Delivery Truck,1207.18,55.2,Connacht
44,26,1368.03,Regular Air,27.51,51.35,Leinster
45,45,3577.81,Regular Air,1097.97,299.97,Connacht
46,20,5304.42,Delivery Truck,633.44,452.85,Connacht
47,37,101.9,Regular Air,40.52,1.55,Munster
48,31,293.18,Regular Air,64.22,47.25,Leinster
49,3,9.4,Regular Air,7.6,0.2,Munster
50,35,543.72,Regular Air,211.13,15.53,Leinster
51,22,3760.3065,Regular Air,593.18,174.89,Munster
52,34,4805.92,Delivery Truck,393.96,605.27,Ulster
53,43,364.59,Regular Air,14.28,20.17,Connacht
54,43,1243.88,Regular Air,22.71,64.36,Leinster
55,37,5723.24,Delivery Truck,194.97,332.24,Munster
56,19,159.24,Regular Air,8.3,15.07,Ulster
57,2,789.01,Regular Air,539.59,90.14,Leinster
58,49,214.62,Regular Air,151.42,16.05,Connacht
59,21,70.66,Regular Air,57.84,1.31,Munster
60,45,1008.34,Regular Air,218.65,81.4,Munster
